Date,Time,High,Low,Open,Close,Volume
20210204,09:30:00,372.7996,371.7119,371.8867,372.7996,796982
20210204,10:00:00,373.3142,372.4694,372.8093,372.6539,642336
20210204,10:30:00,373.2948,372.5374,372.6636,373.1589,381499
20210204,11:00:00,373.625,373.0715,373.1589,373.4016,304991
20210204,11:30:00,373.6541,373.1977,373.4016,373.4793,189001
20210204,12:00:00,373.7804,373.4502,373.4696,373.6347,180202
20210204,12:30:00,373.8775,373.4987,373.6444,373.625,193725
20210204,13:00:00,374.0814,373.6056,373.6153,374.0037,158350
20210204,13:30:00,374.2076,373.994,373.994,374.0523,148529
20210204,14:00:00,374.2853,373.9357,374.0717,374.062,284451
20210204,14:30:00,374.3145,373.9843,374.0814,374.1882,265073
20210204,15:00:00,374.2173,373.8386,374.1785,373.9746,300561
20210204,15:30:00,375.0622,373.8483,373.9746,375.0039,1361110
20210205,09:30:00,377.0529,375.8488,376.9655,375.9459,756435
20210205,10:00:00,376.2178,375.3147,375.9265,375.9265,562413
20210205,10:30:00,376.7519,375.9167,375.9556,376.48,469132
20210205,11:00:00,376.6353,375.9167,376.5091,376.1595,335814
20210205,11:30:00,376.5577,376.1013,376.1595,376.1207,277356
20210205,12:00:00,376.6936,375.9944,376.1207,376.6548,205680
20210205,12:30:00,377.2083,376.5674,376.6548,377.1986,320114
20210205,13:00:00,377.2277,376.781,377.1986,376.8199,210411
20210205,13:30:00,376.8781,376.3634,376.8199,376.3829,241024
20210205,14:00:00,376.6839,376.2081,376.3732,376.6353,253617
20210205,14:30:00,376.8101,376.1207,376.6451,376.3052,271647
20210205,15:00:00,376.48,375.9944,376.3052,376.0236,455423
20210205,15:30:00,376.5965,375.9847,376.0139,376.4703,942129
20210208,09:30:00,378.5484,377.8783,378.0143,378.3445,705889
20210208,10:00:00,378.5969,377.9852,378.3639,378.2668,351625
20210208,10:30:00,378.6649,378.0823,378.2571,378.2765,368889
20210208,11:00:00,378.3639,377.655,378.2862,377.8589,370689
20210208,11:30:00,377.9172,377.1209,377.8783,377.655,383052
20210208,12:00:00,378.1211,377.6647,377.6647,378.0434,229694
20210208,12:30:00,378.0434,377.6744,378.0434,377.7812,199481
20210208,13:00:00,377.9172,377.5773,377.7812,377.8007,141188
20210208,13:30:00,378.0531,377.354,377.8007,377.5579,321391
20210208,14:00:00,377.9172,377.5385,377.5676,377.7715,235551
20210208,14:30:00,378.0823,377.587,377.7521,378.0726,199155
20210208,15:00:00,378.2862,377.9852,378.0823,378.2474,286234
20210208,15:30:00,379.2379,378.1502,378.2668,379.2379,853786
20210209,09:30:00,378.9951,377.9172,378.3639,378.8397,784297
20210209,10:00:00,379.1019,378.5581,378.8397,378.9271,375658
20210209,10:30:00,379.1699,378.694,378.9077,378.762,228802
20210209,11:00:00,378.762,378.1405,378.762,378.4513,266798
20210209,11:30:00,379.0145,378.325,378.4221,378.7814,175788
20210209,12:00:00,379.335,378.7523,378.7912,379.2087,242839
20210209,12:30:00,379.5098,379.199,379.2087,379.3932,156590
20210209,13:00:00,379.4418,378.9174,379.3932,378.9271,153216
20210209,13:30:00,379.1407,378.898,378.9465,379.0825,126310
20210209,14:00:00,379.4127,379.0825,379.0825,379.335,227208
20210209,14:30:00,379.568,379.3447,379.3544,379.4903,165372
20210209,15:00:00,379.5486,379.1699,379.4806,379.1893,317468
20210209,15:30:00,379.5874,378.6164,379.1893,378.9757,1066875
20210210,09:30:00,380.9275,380.0536,380.7819,380.2187,657538
20210210,10:00:00,380.5974,377.4511,380.2381,378.1114,1161137
20210210,10:30:00,378.4998,376.2955,378.1502,378.393,1433422
20210210,11:00:00,378.83,377.6161,378.4124,378.0337,515097
20210210,11:30:00,378.7717,377.6259,378.0337,378.2376,396405
20210210,12:00:00,378.2959,377.4316,378.2376,378.0726,356005
20210210,12:30:00,378.5387,377.7715,378.0531,378.3056,290279
20210210,13:00:00,378.6552,378.1405,378.2765,378.6067,159035
20210210,13:30:00,378.8203,378.1502,378.6067,378.3833,220289
20210210,14:00:00,379.1116,378.1891,378.3736,379.1116,409993
20210210,14:30:00,379.5486,378.9271,379.1116,379.4903,414854
20210210,15:00:00,379.7622,378.9174,379.5195,379.131,499458
20210210,15:30:00,379.3058,378.1114,379.131,378.8203,1086616
20210211,09:30:00,380.3643,379.0728,379.9467,379.131,658339
20210211,10:00:00,379.8885,379.0436,379.1407,379.7137,319180
20210211,10:30:00,380.0439,379.1116,379.7234,379.3058,392424
20210211,11:00:00,379.4903,378.8786,379.3253,379.3155,299787
20210211,11:30:00,379.636,379.0436,379.335,379.2281,207539
20210211,12:00:00,379.4029,377.4219,379.2184,377.4705,582308
20210211,12:30:00,378.1891,376.8975,377.4608,378.0823,589047
20210211,13:00:00,378.5969,377.587,378.0726,378.4319,360151
20210211,13:30:00,378.7135,378.2085,378.4319,378.2474,182317
20210211,14:00:00,378.2474,377.5579,378.2474,378.0823,308072
20210211,14:30:00,378.5678,377.7715,378.0434,378.5095,230088
20210211,15:00:00,379.1796,378.393,378.4998,378.8494,393617
20210211,15:30:00,379.6651,378.6261,378.8494,379.4224,1170795
20210212,09:30:00,379.3447,378.4998,378.5678,379.0631,575321
20210212,10:00:00,379.4418,378.9854,379.0436,379.2087,401631
20210212,10:30:00,380.1507,378.7717,379.2184,379.9565,425971
20210212,11:00:00,380.1215,379.7234,379.9759,380.005,260060
20210212,11:30:00,380.2769,379.9079,380.0341,380.0439,192624
20210212,12:00:00,380.2963,379.9079,380.0633,379.9273,172379
20210212,12:30:00,379.9759,379.6651,379.9273,379.8691,175236
20210212,13:00:00,379.9467,379.2184,379.8691,379.636,306356
20210212,13:30:00,379.9079,379.3544,379.636,379.5486,146878
20210212,14:00:00,379.6263,379.2573,379.5486,379.5874,295307
20210212,14:30:00,379.8691,379.3447,379.6069,379.7914,182684
20210212,15:00:00,380.1118,379.7331,379.8011,380.0827,220034
20210212,15:30:00,381.5296,380.0536,380.0827,381.3451,2208469
20210216,09:30:00,382.7726,381.8792,382.5784,382.2774,796093
20210216,10:00:00,382.6464,381.4616,382.3356,382.6464,594274
20210216,10:30:00,382.7532,381.0538,382.6464,381.8598,760946
20210216,11:00:00,381.986,381.0829,381.8209,381.248,363728
20210216,11:30:00,381.5685,380.5877,381.2383,380.7042,464886
